recebido_em	evento_em	evento	usuario	uid	maquina	indice	item_key	tipo	protheus	cooperat	armazem	endereco	descricao	valor	status	client_ping_id	origem
2026-07-22T23:43:42.263230+00:00	2026-07-22T16:42:35.547000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	22	3111001941||4||PENT/A/CX23||0	quantidade	3111001941	139670	04	PENT/A/CX23	PER-11030.030-0512-5174 PARAFUSO ESPECIAL M20	16		1784738555547_98ifuqiwbts	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:47:02.905027+00:00	2026-07-22T16:45:56.186000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	24	3111002007||4||PENT/A/CX25||0	quantidade	3111002007	52610	04	PENT/A/CX25	PER-31050.008-1031-5614 SUPORTE	32		1784738756186_dfomc80d2ek	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:47:14.836421+00:00	2026-07-22T16:46:08.120000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	25	3111002009||4||PENT/A/CX26||0	quantidade	3111002009	52788	04	PENT/A/CX26	PER-24515.013-0477-4093 SUPORTE DO LIMPADOR COMPL	5		1784738768120_b4yfa8jx7d	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:48:24.466919+00:00	2026-07-22T16:47:17.753000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	26	3111001738||4||PENT/A/CX27||0	quantidade	3111001738	57134	04	PENT/A/CX27	PER-1530-0476-9851 ACOPLAMENTO DM8	34		1784738837754_t77yz0zj2r9	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:48:48.562173+00:00	2026-07-22T16:47:41.882000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	27	3111001977||4||PENT/A/CX28||0	quantidade	3111001977	100625	04	PENT/A/CX28	PER-0005.028-1000-4307 PORTA RASPADOR COMPLETO	4		1784738861882_ndpzx3mbhk7	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:50:02.147494+00:00	2026-07-22T16:48:55.427000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	28	3111001910||4||PENT/A/CX29||0	quantidade	3111001910	57127	04	PENT/A/CX29	PER-31050.038-1052-6118 MEMBRANA D ROLO BFC 30/2	21		1784738935427_6w88oua8ybg	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:50:52.723728+00:00	2026-07-22T16:49:46.019000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	29	3111001911||4||PENT/A/CX30||0	quantidade	3111001911	53976	04	PENT/A/CX30	PER-24060.007-1052-6117 MEMBRANA ROLO BFC30/25X24	22		1784738986019_sh0uui7350k	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:51:12.066812+00:00	2026-07-22T16:50:05.391000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	30	3111001986||4||PENT/A/CX31||0	quantidade	3111001986	18852	04	PENT/A/CX31	PER-0013.052-0477-4531 RETENCAO CILINDRO PRESS	5		1784739005391_tznit53k9m	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:53:40.578237+00:00	2026-07-22T16:52:33.916000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	31	3111002005||4||PENT/A/CX32||0	quantidade	3111002005	50548	04	PENT/A/CX32	PER-31050.013-1011-0571 SEGURANCA DE CILINDRO PRE	34		1784739153916_rr6ofemh7t	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:53:50.757591+00:00	2026-07-22T16:52:44.063000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	32	3111001943||4||PENT/A/CX33||0	quantidade	3111001943	145718	04	PENT/A/CX33	PER-110.005-1048-8011 PARAFUSO M16X90	6		1784739164063_6c5q49ijnp5	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:55:32.279986+00:00	2026-07-22T16:54:25.595000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	34	3113000051||4||PENT/A/CX35||0	quantidade	3113000051	64453	04	PENT/A/CX35	PER-910.008-1040-8218 PENTE CIRCULAR DETERGENTE	5		1784739265595_tkwu223z1e	https://economy-excuse-evanescence-priest.trycloudflare.com
2026-07-22T23:56:16.132918+00:00	2026-07-22T16:55:09.474000+00:00	proximo	davi	biYxvZmkYoTS0b2Us4HVHyWwvRJ3	piso1||PER	36	3111001899||4||PENT/A/CX37||0	quantidade	3111001899	103275	04	PENT/A/CX37	PER-24515.005-0471-0077 MANCAL	12		1784739309474_tlwlppfv5dq	https://economy-excuse-evanescence-priest.trycloudflare.com
